Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
20,10,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
20,20,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
20,50,RMSprop,MeanSquaredError,random_uniform,None,99.72919821739197
20,75,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
20,100,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
50,5,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
50,10,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
50,20,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
50,50,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
50,75,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
50,100,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
75,5,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
75,10,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
75,20,RMSprop,MeanSquaredError,random_uniform,None,99.87691044807434
75,50,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
75,75,RMSprop,MeanSquaredError,random_uniform,None,99.87691044807434
75,100,RMSprop,MeanSquaredError,random_uniform,None,97.58739471435547
100,5,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
100,10,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
100,20,RMSprop,MeanSquaredError,random_uniform,None,93.57459545135498
100,50,RMSprop,MeanSquaredError,random_uniform,None,97.538161277771
100,75,RMSprop,MeanSquaredError,random_uniform,None,99.87691044807434
100,100,RMSprop,MeanSquaredError,random_uniform,None,99.90152716636658
5,5,RMSprop,MeanSquaredError,random_uniform,zeros,97.51353859901428
5,10,RMSprop,MeanSquaredError,random_uniform,zeros,97.51353859901428
5,20,RMSprop,MeanSquaredError,random_uniform,zeros,99.82767105102539
5,50,RMSprop,MeanSquaredError,random_uniform,zeros,97.51353859901428
5,75,RMSprop,MeanSquaredError,random_uniform,zeros,97.4396824836731
5,100,RMSprop,MeanSquaredError,random_uniform,zeros,95.91334462165833
10,5,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
10,10,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
10,20,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
10,50,RMSprop,MeanSquaredError,random_uniform,zeros,81.88084959983826
10,75,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
10,100,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
20,5,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,10,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,20,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,50,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
20,75,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
20,100,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,5,RMSprop,MeanSquaredError,random_uniform,zeros,99.87691044807434
50,10,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,20,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
50,50,RMSprop,MeanSquaredError,random_uniform,zeros,81.88084959983826
50,75,RMSprop,MeanSquaredError,random_uniform,zeros,81.88084959983826
50,100,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
75,5,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
75,10,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
75,20,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
75,50,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
75,75,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
75,100,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
100,5,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
100,10,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
100,20,RMSprop,MeanSquaredError,random_uniform,zeros,97.538161277771
100,50,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
100,75,RMSprop,MeanSquaredError,random_uniform,zeros,97.58739471435547
100,100,RMSprop,MeanSquaredError,random_uniform,zeros,99.90152716636658
5,5,RMSprop,binary_crossentropy,None,None,99.87691044807434
5,10,RMSprop,binary_crossentropy,None,None,99.80305433273315
5,20,RMSprop,binary_crossentropy,None,None,99.7538149356842
5,50,RMSprop,binary_crossentropy,None,None,99.85228776931763
5,75,RMSprop,binary_crossentropy,None,None,99.67995882034302
5,100,RMSprop,binary_crossentropy,None,None,98.49827885627747
10,5,RMSprop,binary_crossentropy,None,None,99.87691044807434
10,10,RMSprop,binary_crossentropy,None,None,99.87691044807434
10,20,RMSprop,binary_crossentropy,None,None,99.85228776931763
10,50,RMSprop,binary_crossentropy,None,None,99.82767105102539
10,75,RMSprop,binary_crossentropy,None,None,99.5814859867096
10,100,RMSprop,binary_crossentropy,None,None,81.88084959983826
20,5,RMSprop,binary_crossentropy,None,None,99.87691044807434
20,10,RMSprop,binary_crossentropy,None,None,97.6120114326477
20,20,RMSprop,binary_crossentropy,None,None,99.85228776931763
20,50,RMSprop,binary_crossentropy,None,None,99.95076060295105
20,75,RMSprop,binary_crossentropy,None,None,100.0
20,100,RMSprop,binary_crossentropy,None,None,99.95076060295105
50,5,RMSprop,binary_crossentropy,None,None,99.97538328170776
